tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
No,Yes,Yes,No,No,Yes,Possibly,3,32.0,Male,United States of America
Yes,I don't know,Yes,No,No,No,Yes,6,52.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,7,33.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,7,41.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,6,25.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,10,36.0,Other,United States of America
Yes,No,No,No,Yes,Yes,No,8,37.0,Male,Canada
No,Yes,Yes,No,Yes,Yes,Possibly,5,42.0,Male,United States of America
No,I don't know,No,Yes,Yes,Yes,Yes,9,35.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,6,23.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,8,35.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,34.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Possibly,1,24.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,38.0,Male,United States of America
Yes,No,No,Yes,No,Yes,Yes,0,42.0,Male,United Kingdom
Yes,Yes,Yes,No,No,Yes,Don't Know,5,23.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,7,39.0,Other,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,10,30.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,5,35.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,8,24.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,6,35.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Possibly,4,30.0,Male,United States of America
Yes,I don't know,No,Yes,No,No,No,8,28.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,7,32.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,6,34.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,33.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,No,8,32.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,5,27.0,Female,United States of America
No,No,I don't know,Yes,Yes,Yes,Yes,4,30.0,Male,Netherlands
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,34.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Don't Know,7,32.0,Male,United States of America
Yes,I don't know,No,No,No,No,Yes,6,41.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,7,37.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,No,7,26.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,Possibly,5,24.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,44.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,9,40.0,Male,Germany
No,Yes,Yes,Yes,Yes,Yes,Yes,5,27.0,Other,United States of America
Yes,I don't know,No,No,No,No,Possibly,6,40.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,38.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,34.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,7,34.0,Male,United States of America
Yes,No,No,No,No,Yes,No,5,26.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,39.0,Male,United States of America
No,No,Yes,Yes,No,Yes,Yes,6,33.0,Other,United Kingdom
No,Yes,No,Yes,Yes,Yes,Yes,9,37.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,No,10,30.0,Male,United States of America
Yes,No,No,No,No,Yes,No,9,22.0,Male,United Kingdom
Yes,I don't know,I don't know,No,No,Yes,No,8,51.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Yes,2,24.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,5,37.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,8,46.0,Male,United States of America
No,Yes,No,Yes,No,Yes,Yes,5,50.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,7,30.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,No,10,27.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,32.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,8,34.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,35.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,2,31.0,Male,United States of America
No,Yes,No,No,No,Yes,Yes,6,33.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,8,40.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,7,40.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,9,28.0,Other,United States of America
No,I don't know,No,No,No,Yes,No,2,25.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,48.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,43.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,5,29.0,Male,United States of America
No,No,Yes,Yes,No,Yes,Yes,9,36.0,Other,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,34.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,7,33.0,Male,United Kingdom
No,Yes,Yes,No,No,Yes,Don't Know,1,49.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,32.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,5,40.0,Female,United States of America
Yes,No,No,Yes,Yes,Yes,No,8,28.0,Male,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,Yes,8,46.0,Male,United States of America
Yes,No,No,No,No,Yes,Yes,5,20.0,Male,Germany
No,Yes,Yes,Yes,Yes,Yes,Yes,9,30.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,8,44.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Yes,8,35.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,10,35.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,No,4,30.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,10,22.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,5,41.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,5,32.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,7,48.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,No,9,32.0,Male,Germany
No,I don't know,I don't know,No,No,No,Possibly,5,30.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,Yes,10,45.0,Female,United States of America
Yes,No,No,No,No,Yes,Possibly,5,32.0,Other,United Kingdom
No,I don't know,No,No,Yes,No,Yes,10,30.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,3,32.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,5,37.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,10,30.0,Male,United States of America
Yes,No,No,No,No,Yes,Possibly,6,35.0,Female,United Kingdom
Yes,Yes,I don't know,No,Yes,Yes,No,9,37.0,Male,United States of America
Yes,No,No,Yes,No,Yes,Possibly,7,26.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,Possibly,9,50.0,Male,United States of America
Yes,I don't know,No,No,No,No,Possibly,2,32.0,Male,United States of America
Yes,I don't know,Yes,No,No,Yes,No,9,32.0,Male,United States of America
Yes,No,No,No,No,No,No,9,23.0,Male,United States of America
Yes,I don't know,Yes,No,Yes,Yes,Possibly,6,40.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,2,36.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,5,29.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,No,6,28.0,Male,United States of America
Yes,No,I don't know,Yes,No,No,No,7,51.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,5,36.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,7,40.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,2,39.0,Male,Canada
Yes,I don't know,I don't know,No,No,Yes,No,6,32.0,Female,Netherlands
No,No,No,No,No,Yes,Possibly,0,45.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,7,39.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,7,46.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Don't Know,7,34.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,7,30.0,Male,France
Yes,No,No,Yes,No,No,Yes,10,31.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,7,28.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,Possibly,3,32.0,Male,United Kingdom
Yes,I don't know,I don't know,No,No,Yes,Don't Know,2,39.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,6,45.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,8,36.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,26.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,5,55.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,4,40.0,Other,United States of America
No,I don't know,No,No,Yes,Yes,Yes,2,27.0,Female,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,7,45.0,Female,United States of America
Yes,No,No,No,No,Yes,Yes,7,34.0,Female,United States of America
No,I don't know,No,No,No,Yes,No,8,31.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,9,40.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,No,10,41.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,No,4,39.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,7,39.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,9,37.0,Male,United States of America
No,Yes,No,No,No,Yes,No,8,32.0,Male,France
Yes,I don't know,I don't know,No,No,Yes,No,5,24.0,Male,France
Yes,No,I don't know,No,Yes,Yes,No,7,40.0,Female,France
Yes,Yes,Yes,Yes,No,Yes,No,7,49.0,Male,United Kingdom
No,I don't know,No,Yes,Yes,Yes,Yes,10,28.0,Male,United States of America
Yes,No,I don't know,Yes,Yes,Yes,Possibly,10,22.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,8,41.0,Male,United States of America
Yes,No,I don't know,No,No,Yes,Possibly,7,36.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,6,32.0,Male,United States of America
No,I don't know,No,No,No,Yes,Yes,8,23.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,53.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,8,34.0,Male,United States of America
No,No,No,No,Yes,Yes,Possibly,2,30.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Yes,8,30.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,22.0,Female,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,8,27.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,8,33.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,3,28.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,7,36.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,Possibly,10,25.0,Female,United States of America
No,No,No,No,No,Yes,Don't Know,2,30.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,10,39.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Possibly,10,31.0,Other,United States of America
No,Yes,Yes,No,No,Yes,Don't Know,7,48.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,7,43.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,5,35.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Possibly,10,31.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,5,27.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,6,28.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,4,43.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,5,31.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,7,37.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,9,36.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,8,42.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,9,29.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,41.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,6,53.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Don't Know,1,44.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,9,37.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,57.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,2,47.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,9,34.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,7,29.0,Male,United States of America
No,I don't know,No,No,Yes,Yes,Possibly,8,38.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,8,41.0,Male,United Kingdom
Yes,Yes,No,Yes,Yes,Yes,Yes,10,40.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Possibly,2,30.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,3,29.0,Male,United States of America
No,Yes,No,No,No,Yes,No,2,46.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,29.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,8,55.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,6,29.0,Other,Finland
No,Yes,Yes,No,No,Yes,Don't Know,5,37.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,45.0,Male,United States of America
No,No,No,No,No,Yes,Yes,7,31.0,Male,Germany
No,I don't know,I don't know,No,No,Yes,Possibly,2,26.0,Male,Germany
No,Yes,No,No,Yes,Yes,Yes,9,35.0,Male,Canada
No,Yes,Yes,No,No,Yes,Yes,8,47.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,37.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,8,37.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,8,36.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Possibly,6,45.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,6,30.0,Male,United States of America
Yes,No,No,No,No,Yes,No,7,46.0,Male,Germany
Yes,I don't know,I don't know,Yes,No,Yes,Yes,0,44.0,Male,Canada
Yes,Yes,I don't know,No,No,Yes,Possibly,5,32.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,5,19.0,Male,Australia
No,I don't know,I don't know,No,No,Yes,Yes,2,38.0,Male,United Kingdom
Yes,No,No,No,No,No,Yes,2,61.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,8,44.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,8,31.0,Male,Ireland
Yes,I don't know,No,No,No,Yes,Yes,9,44.0,Male,United States of America
No,I don't know,No,Yes,No,Yes,Yes,10,39.0,Male,United States of America
No,I don't know,No,No,No,No,Don't Know,0,39.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,No,0,42.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,35.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,28.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Yes,7,35.0,Female,United States of America
Yes,I don't know,I don't know,No,Yes,No,No,5,31.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,5,27.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,9,36.0,Male,United States of America
Yes,I don't know,I don't know,Yes,No,No,No,8,33.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,No,3,26.0,Male,United States of America
No,I don't know,No,No,No,Yes,Yes,5,24.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,34.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Possibly,5,25.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Yes,5,19.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,No,4,28.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,10,26.0,Male,United States of America
No,I don't know,No,No,No,No,Yes,1,23.0,Male,United States of America
No,Yes,Yes,Yes,No,Yes,No,8,46.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,Possibly,6,28.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Yes,2,30.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,2,37.0,Female,Mauritius
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,35.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,26.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,8,29.0,Female,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,Yes,8,57.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,1,38.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,20.0,Female,United Kingdom
Yes,I don't know,No,No,Yes,Yes,Don't Know,2,41.0,Male,United States of America
No,Yes,No,No,No,Yes,Possibly,0,43.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,10,35.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,No,Possibly,8,40.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,42.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,4,39.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,28.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,8,29.0,Female,United States of America
No,I don't know,No,No,No,Yes,No,10,32.0,Female,Germany
No,Yes,I don't know,No,No,Yes,Yes,8,28.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,31.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Don't Know,7,27.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,10,36.0,Female,Ireland
Yes,No,No,No,No,Yes,Yes,2,37.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,10,53.0,Female,United States of America
Yes,No,No,No,No,Yes,No,8,32.0,Male,France
Yes,I don't know,No,No,No,Yes,Yes,10,25.0,Female,United States of America
Yes,No,I don't know,Yes,Yes,No,Yes,10,29.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,9,47.0,Male,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Don't Know,9,61.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,9,28.0,Male,United States of America
No,Yes,No,No,No,Yes,Possibly,8,31.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Yes,9,40.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,9,41.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,34.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Yes,2,31.0,Female,United States of America
No,Yes,I don't know,No,Yes,Yes,Yes,10,35.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,8,27.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,6,42.0,Female,United States of America
No,Yes,No,No,Yes,Yes,Yes,9,56.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,8,27.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Don't Know,5,37.0,Female,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,30.0,Female,United Kingdom
Yes,Yes,I don't know,No,Yes,Yes,Possibly,8,39.0,Male,United States of America
Yes,No,No,No,No,Yes,Yes,7,30.0,Female,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,7,31.0,Male,Netherlands
Yes,Yes,No,No,No,Yes,No,10,46.0,Male,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,Yes,9,45.0,Female,United States of America
No,No,No,No,No,Yes,Yes,5,38.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,No,5,41.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,37.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,9,33.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,28.0,Other,United States of America
No,Yes,No,No,No,Yes,Yes,5,28.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,8,38.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,No,7,42.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,30.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,25.0,Female,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,10,44.0,Male,United States of America
No,Yes,No,Yes,No,Yes,Yes,1,28.0,Other,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,7,41.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,7,38.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,8,37.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,5,33.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,9,35.0,Female,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,6,43.0,Male,United States of America
Yes,No,Yes,Yes,Yes,No,Possibly,9,34.0,Male,United States of America
Yes,No,Yes,Yes,No,Yes,Possibly,8,44.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,38.0,Male,United States of America
Yes,No,No,No,No,Yes,No,4,55.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Yes,1,37.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,9,39.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,3,23.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,43.0,Male,United States of America
No,I don't know,I don't know,Yes,Yes,Yes,Yes,9,29.0,Male,United States of America
Yes,No,No,No,Yes,No,Possibly,7,25.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Don't Know,0,36.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,6,33.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,8,34.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Don't Know,7,28.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,9,54.0,Other,United States of America
No,I don't know,No,No,No,Yes,No,7,39.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,4,37.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,6,29.0,Male,United States of America
Yes,I don't know,Yes,No,Yes,Yes,Possibly,7,31.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,49.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,7,43.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,38.0,Other,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,7,35.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,3,23.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,10,42.0,Male,United Kingdom
No,Yes,Yes,No,Yes,Yes,Yes,8,36.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,4,38.0,Male,United States of America
Yes,I don't know,Yes,No,Yes,Yes,Possibly,5,41.0,Male,United Kingdom
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,37.0,Female,United States of America
Yes,I don't know,Yes,No,No,No,Yes,10,25.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,No,9,33.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,7,35.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,32.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,40.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,No,8,34.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,4,28.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Yes,2,49.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,5,36.0,Male,United States of America
Yes,No,Yes,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,7,39.0,Male,United States of America
Yes,I don't know,No,No,Yes,No,Possibly,5,49.0,Female,United States of America
Yes,I don't know,Yes,No,No,No,No,8,33.0,Male,United States of America
Yes,No,No,No,No,Yes,Possibly,6,29.0,Other,United Kingdom
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,5,29.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,Don't Know,4,25.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,Yes,8,35.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,10,21.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,10,43.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,31.0,Female,United States of America
Yes,I don't know,Yes,No,Yes,Yes,Yes,8,27.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,0,23.0,Male,United States of America
No,Yes,Yes,Yes,No,Yes,No,5,28.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,7,37.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,6,30.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,4,30.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,30.0,Female,United States of America
No,No,I don't know,No,No,Yes,Yes,8,35.0,Male,United States of America
Yes,No,No,No,No,Yes,Yes,8,31.0,Female,Germany
Yes,No,No,Yes,No,No,Possibly,7,30.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,8,33.0,Other,United States of America
No,I don't know,Yes,No,No,Yes,Possibly,6,28.0,Female,United States of America
Yes,No,No,Yes,Yes,Yes,No,10,28.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,9,33.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Possibly,6,28.0,Female,United States of America
Yes,I don't know,No,Yes,Yes,No,Yes,9,28.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,6,43.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,6,31.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,8,40.0,Female,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,6,42.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,9,38.0,Male,United States of America
Yes,I don't know,No,Yes,No,Yes,No,9,39.0,Male,United States of America
No,No,I don't know,No,Yes,Yes,Yes,3,21.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,10,32.0,Female,United States of America
Yes,No,No,Yes,Yes,Yes,Possibly,9,32.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,40.0,Male,United States of America
